Column 0,Column 1,Column 2,Column 3
"Zoe Lofts | 5335 W Adams Blvd, Los Angeles, CA","$2,111+ Studio",https://www.zillow.com/apartments/los-angeles-ca/zoe-lofts/BPJKDJ/,https://photos.zillowstatic.com/fp/986d94eee9eb49d7c3167163f49b783b-p_e.jpg
"The Village at Northridge | 9222 Corbin Ave, Northridge, CA","$8,250+ 1 bd",https://www.zillow.com/apartments/northridge-ca/the-village-at-northridge/9MXHLJ/,https://photos.zillowstatic.com/fp/497fc69532e99ef49c964faf9e44fb31-p_e.jpg
"107 Hewitt | 107 S Hewitt St, Los Angeles, CA","$3,425+ 1 bd",https://www.zillow.com/apartments/los-angeles-ca/107-hewitt/CG9LLj/,https://photos.zillowstatic.com/fp/51184818793b5b05dcfbd270ff0d59a2-p_e.jpg
"Seaport Homes | 28000 S Western Ave, San Pedro, CA","$3,025+ 2 bds",https://www.zillow.com/apartments/san-pedro-ca/seaport-homes/5XjLY8/,https://photos.zillowstatic.com/fp/6398b83b677b01f533537fe168b3f3a1-p_e.jpg
"14740 Erwin St. | 14740 Erwin St, Van Nuys, CA","$2,650+ 2 bds",https://www.zillow.com/b/14740-erwin-st.-van-nuys-ca-5Ytzmm/,https://photos.zillowstatic.com/fp/0fec9bfad704b7c74f9e9c977560c936-p_e.jpg
"1632 W. 218th St. | 1632 W 218th St, Torrance, CA","$1,995+ 1 bd",https://www.zillow.com/b/1632-w.-218th-st.-torrance-ca-5YtzTW/,https://photos.zillowstatic.com/fp/0cf045b0c913b1d5d105693abe9acf5a-p_e.jpg
"2505-2509 Denison Ave. | 2505 S Denison Ave, San Pedro, CA","$1,850+ 1 bd",https://www.zillow.com/apartments/san-pedro-ca/2505.dash.2509-denison-ave./5gjgsV/,https://photos.zillowstatic.com/fp/389de3530e86496a363ea5e110bdf89f-p_e.jpg
"1547 W. 261st St. | 1547 W 261st St, Harbor City, CA","$1,600+ 1 bd",https://www.zillow.com/apartments/harbor-city-ca/1547-w.-261st-st./9kC7ry/,
"Seacrest Homes Apartments | 1311 Sepulveda Blvd, Torrance, CA","$3,250+ 2 bds",https://www.zillow.com/apartments/torrance-ca/seacrest-homes-apartments/BChvGz/,https://photos.zillowstatic.com/fp/9698e0a7a0679d6f1bb448c3045ba5c3-p_e.jpg
"TENTEN Downtown: 10 Weeks Free* | 1027 Wilshire Blvd, Los Angeles, CA","$2,950+ 1 bd",https://www.zillow.com/apartments/los-angeles-ca/tenten-downtown%3a-10-weeks-free*/9ML7Gf/,https://photos.zillowstatic.com/fp/ddc671dff314c417ef74eaa1483abe32-p_e.jpg
"TENTEN Wilshire: 10 Weeks Free* | 1010 Wilshire Blvd, Los Angeles, CA","$2,950+ Studio",https://www.zillow.com/apartments/los-angeles-ca/tenten-wilshire%3a-10-weeks-free*/5XjCBD/,https://photos.zillowstatic.com/fp/3ad9afa545e171a39d689740736e2ff0-p_e.jpg
"Avalon Playa Vista | 5535 Westlawn Ave, Los Angeles, CA","$2,760+ 1 bd",https://www.zillow.com/apartments/los-angeles-ca/avalon-playa-vista/5XkJJM/,https://photos.zillowstatic.com/fp/d38bc815ef0b003991203c7cc5f2be50-p_e.jpg
"Sentral Beverly Hills | 6401 Wilshire Blvd, Los Angeles, CA","$3,540+ Studio",https://www.zillow.com/apartments/los-angeles-ca/sentral-beverly-hills/9MMh43/,https://photos.zillowstatic.com/fp/5917245bfc2461337308b6eabed6aa32-p_e.jpg
